name,country,order,centroid_lat,centroid_lon,website,fb_group,fb_page
WCU Slackline Society,US,West Chester,39.96066,-75.60549,,https://www.facebook.com/groups/472937362760911/,
East Coast Slackliners,US,East Coast,40.74226,-73.67423,,https://www.facebook.com/groups/EastCoastSlackline/,
South Carolina Slackline,US,South Carolina,33.83608,-81.16373,,https://www.facebook.com/groups/SouthCarolinaSlackline/,
Denton Slackliners,US,Denton,33.21484,-97.13307,,https://www.facebook.com/groups/dentonslackliners/,
Slackline Houston,US,Houston,29.76043,-95.3698,,https://www.facebook.com/groups/HoustonSlacklining/,
Slackline Austin,US,Austin,30.26715,-97.74306,,https://www.facebook.com/groups/309133349231495/,
Austin Slacklines,US,Austin,30.26715,-97.74306,,https://www.facebook.com/groups/329098067135506/,
Slackline Moab,US,Moab,38.57331,-109.5498,,https://www.facebook.com/groups/slacklinemoab/,
Happy Valley Highliners,US,Provo/Orem,40.32111,-111.6488,,https://www.facebook.com/groups/531125466911248/,
Salt Lake City Slackliners,US,Salt Lake City,40.76078,-111.891,,https://www.facebook.com/groups/368920086580579/,
RVA Slackliners,US,Richmond,37.54073,-77.43605,,https://www.facebook.com/groups/716832055116769/,
NW slackline (Seattle & beyond),US,Seattle,47.60621,-122.3321,,https://www.facebook.com/groups/nwslackline/,
NW Slackline (San Juan Islands),US,San Juan Islands,48.58812,-123.1435,,https://www.facebook.com/groups/200168316854859/,
Slackline Wenatchee,US,Wenatchee,47.42346,-120.3103,,https://www.facebook.com/groups/1625082941038262/,
UK SLACKLINE ASSOCIATION,GB,,55.37805,-3.435973,,https://www.facebook.com/groups/UKslackline/,
Slacklining London UK,GB,London,51.50735,-0.1277583,,https://www.facebook.com/groups/77154016654/,
Slackliners Of Reading,GB,Reading,51.45427,-0.9781303,,https://www.facebook.com/groups/406108939441690/,
Edinburgh Slackline Society,GB,Edinburgh,55.95325,-3.188267,,https://www.facebook.com/groups/265397410147253/,
Northumbria Slackline Society,GB,Newcastle,54.97825,-1.61778,,https://www.facebook.com/groups/northumbriaslackline/,
Slackline Moldova,MD,,47.41163,28.36988,,,https://www.facebook.com/slackline.md
Iran slackline,IR,,32.42791,53.68805,,,https://www.facebook.com/Iranslackline/
Slackline Dubai UAE,AE,Dubai,25.20485,55.27078,,https://www.facebook.com/groups/154990431216959/,
Los Locos de la Cinta - PANAMA-,PA,,8.540604,-80.78186,,https://www.facebook.com/groups/782178865203524,
Slo highline,SI,,46.15124,14.99546,,https://www.facebook.com/groups/425847847594412,
Highline Portugal,PT,,39.39987,-8.224454,,https://www.facebook.com/groups/276786135753067,
Golden Slackers,US,Golden,39.75554,-105.2211,,https://www.facebook.com/groups/344678022245065,
Slackliner Heidelberg,DE,Heidelberg,49.39875,8.672434,,https://www.facebook.com/groups/203848422983167,
Zentralschweizer Slackliner,CH,,46.81819,8.227512,,https://www.facebook.com/groups/158446410832212,
Slackline Dolomites,IT,Dolomites,46.4753,11.73942,,,https://www.facebook.com/slacklinedolomites/
Slackliner Mannheim,DE,Mannheim,49.48746,8.46604,,https://www.facebook.com/groups/157986404266913/,
Slackline France,FR,,46.22764,2.213749,,https://www.facebook.com/groups/100447203334294,
Phoenix Slackliners,US,Phoenix,33.44838,-112.074,,https://www.facebook.com/groups/146058262208810,
