Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Campos dos Goytacazes (RJ),Slackline Campos Dos Goytacazes - Rj,https://www.facebook.com/Slackline-Campos-Dos-Goytacazes-Rj-1504034039893785/,-21.765478,-41.320132,No,https://goo.gl/maps/5XMzn33gyN9SSA9k6
,Canoas (RS),Slackline Canoas,https://www.facebook.com/groups/201325573358690/,-29.913122,-51.170638,No,https://goo.gl/maps/XhryUfhEVnPfdBtBA
,Carazinho (RS),Slackline Carazinho,https://www.facebook.com/groups/1018982351542231/,-28.298818,-52.793948,No,https://goo.gl/maps/CN5VuRM7gmZVr66w5
,Caruaru (PE),Slackline Caruaru Team Skyline,www.facebook.com/groups/slacklinecaruaru/,-8.284766,-35.977518,No,https://goo.gl/maps/qQEdhRzScFmALBja9
,Catalão (GO),Slackline Catalão - Arte de viver!,www.facebook.com/groups/slacklinecat/,-18.17025,-47.944174,No,https://goo.gl/maps/b3stSrGJFVhfFZxN6
,Chapecó (SC),Slackline Chapecó,https://www.facebook.com/groups/248870678624671/,-27.10487,-52.614089,No,https://goo.gl/maps/NPQHfaKjBJ3DQQUQ9
,Chapecó (SC),Slackline e highline no parque alberto finn chapecó,fb.com/groups/parquealbertofin,-27.098264,-52.615974,No,https://goo.gl/maps/FddS3pKmzT1UNsv76
,Cianorte (PR),Slackline Cianorte,https://www.facebook.com/groups/1592846174272328/,-23.664164,-52.609676,No,https://goo.gl/maps/X1T3gsXt29eE1TA26
,Codó (MA),Slackline Codó,https://www.facebook.com/groups/1684909608409982/,-4.462819,-43.88918,No,https://goo.gl/maps/8ktL1df6LtQPsbWy5
,Contagem (MG),Slackline Contagem,https://www.facebook.com/groups/419685268083675/,-19.919832,-44.080221,No,https://goo.gl/maps/hoKMntmiDbmXiPDr5
,Coronel Xavier Chaves (MG),Slackline-Coronel xavier chaves,www.fb.com/groups/845627785465169/,-21.024887,-44.222605,No,https://goo.gl/maps/wWXJvAajEyJ3TZcV8
,Criciúma (SC),Criciúma Slackline,https://www.facebook.com/CriciumaSlackline/,-28.688394,-49.380275,No,https://goo.gl/maps/BNFcefunjVkZvMa99
,Criciúma (SC),Slackline Criciuma,https://www.facebook.com/groups/102798919828710/,-28.68685,-49.370769,No,https://goo.gl/maps/zbCFLeamcK1J7peG6
,Cuiabá (MT),Slackline- Cuiabá-MT,https://www.facebook.com/groups/419785571408292/,-15.579247,-56.074275,No,https://goo.gl/maps/yoWgw6WdTXHuoroA6
,Cuiabá (MT),SlackLine Cuiabá #TREINO & #AULA,www.facebook.com/groups/565345546911670/,-15.603073,-56.102624,No,https://goo.gl/maps/uTvmTTZFRwBf2yvT7
,Curitibanos (SC),Slacklife Curitibanos,https://www.facebook.com/groups/1389537024600245/,-27.284522,-50.58251,No,https://goo.gl/maps/FmKvyGAe8oRE6R5S6
